complaint,department,label
test,तहसील पिथौरागढ़,0.0
test,तहसील पिथौरागढ़,0.0
test complain 1,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
सोलर लाइट एवं सुरक्षात्मक कार्य,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
सोलर लाइट एवं सुरक्षात्मक कार्य,वरिष्ठ परियोजना अधिकारी उरेड़ा,3.0
सोलर लाईट की सुविधा दिलाये जाने के सम्बन्ध में।,वरिष्ठ परियोजना अधिकारी उरेड़ा,3.0
अर्जित अवकाश में किये गये शासकीस/राजकीय कार्याें का भुगतान ब्याज सहित करवाये जाने के सम्बन्ध में।,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4.0
motor road related,अधिशासी अभियंता लो0नि0वि0 अस्कोट,5.0
motor road work related,अधीक्षण अभियंता पी०एम-जी०एस०वाइ० वृत्त लो0नि0वि0 पिथौरागढ़,6.0
motor road work related,अधीक्षण अभियंता पी०एम-जी०एस०वाइ० वृत्त लो0नि0वि0 पिथौरागढ़,6.0
Toilet construction under Swachh Bharat Mission,परियोजना प्रवन्धक  स्वजल पिथौरागढ़,7.0
"Regarding school, drinking water and solution to various problems",खण्ड शिक्षाशिकारी विण,8.0
Regarding road construction from Madkanali to Gantola,अधिशासी अभियंता लो0नि0वि0 अस्कोट,5.0
Regarding construction of walkway to the residence,नगर पालिका परिषद गंगोलीहाट,9.0
Regarding medical examination of the applicants ear and finding out the solution to poverty,जिला समाज कल्याण अधिकारी पिथौरागढ़,10.0
Regarding medical examination of the applicants ear and finding out the solution to poverty,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
Regarding providing residential house,खण्ड विकास अधिकारी गंगोलीहाट,12.0
Regarding construction of road till Shaheed Pawan Singh Sugra College Gangolihat,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13.0
अव्यवारिक भवन कर निर्धारण के भुगतान विषयक,नगर पालिका परिषद गंगोलीहाट,9.0
गौशाला दिलाये जाने बाबत,खण्ड विकास अधिकारी गंगोलीहाट,12.0
गौशाला दिलाये जाने के सम्बन्ध में,खण्ड विकास अधिकारी गंगोलीहाट,12.0
आवास दिलाये जाने के सम्बन्ध में,खण्ड विकास अधिकारी गंगोलीहाट,12.0
आवास दिलाये जाने के सम्बन्ध में,खण्ड विकास अधिकारी गंगोलीहाट,12.0
उप्राडा एवं सुर्खाल में खाद्यान्न वितरण बाबत,जिला पूर्ति अधिकारी  पिथौरागढ़,14.0
प्रधानमंत्री आवास योजनान्तर्गत आवास आवंटित किये जाने बाबत,खण्ड विकास अधिकारी गंगोलीहाट,12.0
"पैनापनी, भाटारी, बलिगांव, सुतार गाँव , रांकर आदि गावो में सड़क निर्माण बाबत",अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15.0
आवास दिलाये जाने बाबत,खण्ड विकास अधिकारी गंगोलीहाट,12.0
आवास दिलाये जाने बाबत,खण्ड विकास अधिकारी गंगोलीहाट,12.0
सामुदायिक स्वास्थ केंद्र गंगोलीहाट में रेडियो लोजिस्ट तैनात किये जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
स्वास्थ्य कार्ड और मेडिकल प्रमाण पत्र बनवाए जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
स्वास्थ्य कार्ड और मेडिकल प्रमाण पत्र बनवाए जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
भू कटाव रोकने हेतु सुरक्षा दिवार का निर्माण करवाए जाने बाबत,खण्ड विकास अधिकारी गंगोलीहाट,12.0
विकलांग प्रमाण पत्र बनाये जाने बाबत,जिला समाज कल्याण अधिकारी पिथौरागढ़,10.0
विकलांग प्रमाण पत्र बनाये जाने बाबत,जिला समाज कल्याण अधिकारी पिथौरागढ़,10.0
विकलांग प्रमाण पत्र बनाये जाने के सम्बन्ध में,जिला समाज कल्याण अधिकारी पिथौरागढ़,10.0
अटल आवास योजना का लाभ दिलाये जाने बाबत,जिला समाज कल्याण अधिकारी पिथौरागढ़,10.0
विकलांग प्रमाण पत्र बनवाए जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
दिब्यांग प्रमाण पत्र बनवाए जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
लघु सिंचाई विभाग से कार्य का भुगतान कराये जाने बाबत,अधिशासी अभिंयंता लघुसिंचाई खंड पिथौरागढ़,16.0
विकलांग प्रमाण पत्र निर्गत किये जाने बाबत,जिला समाज कल्याण अधिकारी पिथौरागढ़,10.0
विकलांग प्रमाण पत्र निर्गत किये जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
हनुमान मंदिर में चाहर दीवारी व सौन्दर्यीकरण बाबत,जिला पर्यटन विकास अधिकारी,17.0
बाघ के आतंक से निजात हेतु पिंजरा लगाये जाने बाबत,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13.0
सिंचाई गूल का निर्माण करवाए जाने बाबत,अधिशासी अभिंयंता लघुसिंचाई खंड पिथौरागढ़,16.0
सिंचाई गूल का निर्माण करवाए जाने बाबत,अधीक्षण अभियन्ता लघु सिचाई पिथौरागढ़,18.0
आवास आवंटन सूची में नाम दर्ज करने बाबत,खण्ड विकास अधिकारी गंगोलीहाट,12.0
